sample	sex	time	ind
629A	F	T0	F1
629B	F	T1	F1
629C	F	T2	F1
629D	F	T3	F1
633A	M	T0	M1
633B	M	T1	M1
633C	M	T2	M1
633D	M	T3	M1
634B	F	T1	F2
634C	F	T2	F2
634D	F	T3	F2
635A	F	T0	F3
635B	F	T1	F3
635C	F	T2	F3
635D	F	T3	F3
637B	F	T1	F4
637C	F	T2	F4
637D	F	T3	F4
638A	M	T0	M2
638B	M	T1	M2
638C	M	T2	M2
638D	M	T3	M2
642A	M	T0	M3
642B	M	T1	M3
642C	M	T2	M3
642D	M	T3	M3
649A	F	T0	F5
649B	F	T1	F5
649C	F	T2	F5
649D	F	T3	F5
650A	M	T0	M4
650B	M	T1	M4
650C	M	T2	M4
650D	M	T3	M4
655A	M	T0	M5
655B	M	T1	M5
655C	M	T2	M5
655D	M	T3	M5
